Quiz_Average,Final
84.44,90
96.633,100
74.809,67
79.108,80
95.49,92
91.623,78
94.846,84
79.82,59
92.113,84
70.666,55
77.702,49
83.399,61
96.666,86
95.666,90
96.107,90
84.13,67
92.007,82
90.355,78
90.334,84
85.947,80
85.066,73
66.2,75
71.504,75
85.209,80
80.401,67
67.408,76
99.2,96
83.057,76
82.466,65
91.213,80
87.633,84
71.866,82
65.222,59
73.976,61
81.3,75
76.436,75
79.309,69
82.322,61
79.9,82
65.348,80
94.547,82
87.781,71
80.266,67
93.78,86
96.74,76
75.555,78
63.071,37
88.941,67
92.247,65
95.567,82
